infinitive tense person number conjugation
ser   pres 1 1 soy
ser   pres 2 1 eres
ser   pres 3 1 es
ser   pres 1 2 somos
ser   pres 3 2 son
ser   pret 1 1 fui
ser   pret 2 1 fuiste
ser   pret 3 1 fue
ser   pret 1 2 fuimos
ser   pret 3 2 fueron
estar pres 1 1 estoy
estar pres 2 1 estás
estar pres 3 1 está
estar pres 3 2 están
tener pres 1 1 tengo
hacer pres 1 1 hago
decir pres 1 1 digo
decir pret 3 2 dijeron
ir    pres 1 1 voy
ir    pres 2 1 vas
ir    pres 3 1 va
ir    pres 1 2 vamos
ir    pres 3 2 van
ir    pret 1 1 fui
ir    pret 2 1 fuiste
ir    pret 3 1 fue
ir    pret 1 2 fuimos
ir    pret 3 2 fueron
ver   pres 1 1 veo
ver   pret 1 1 vi
ver   pret 3 1 vio
ver   pret 1 2 vimos
dar   pres 1 1 doy
dar   pret 1 1 di
dar   pret 2 1 diste
dar   pret 3 1 dio
dar   pret 1 2 dimos
dar   pret 3 2 dieron
saber pres 1 1 sé
poner pres 1 1 pongo
venir pres 1 1 vengo
salir pres 1 1 salgo
parecer pres 1 1 parezco
conocer pres 1 1 conozco
empezar pret 1 1 empecé
enviar pres 1 1 envío
enviar pres 2 1 envías
enviar pres 3 1 envía
enviar pres 1 2 envían
