l2     l1      l1_past
hablar talk    talked
comer  eat     ate
vivir  live    lived
andar  walk    walked
ser    be      were
estar  be      were
tener  have    had
hacer  do      did
decir  say     said
ir     go      went
ver    see     saw
dar    give    gave
saber  know    knew
venir  come    came
salir  leave   left
querer want    wanted
poder  can     could
pensar think   thought
volver return  returned
sentir feel    felt
contar tell    told
poner     put(pres)  put(past)
leer      read(pres) read(past)
parecer   appear     appeared
conocer   know       knew
escribir  write      wrote
necesitar need       needed
seguir    continue   continued
encontrar find       found
empezar   begin      began
